,label,HH_L3_covariance,HH_L5_weight,HH_L5_mean,HH_L5_std,HH_L5_magnitude,HH_L5_radius,HH_L5_covariance,HH_L5_pcc,HH_L3_weight,HH_L3_mean,HH_L3_std,HH_L3_magnitude,HH_L3_radius,HH_L3_pcc,HpHp_L0.01_pcc,HH_L1_weight,HH_L1_mean,HH_L1_std,HH_L1_magnitude,HH_L1_radius
0,1,0.0,93.94886781122356,74.0,1.9073486328125e-06,74.0,3.637978807091713e-12,0.0,0.0,155.1530910435351,73.99999999999993,2.6973983046972182e-06,73.99999999999993,7.275957614183426e-12,0.0,0.0,454.4930951133941,73.99999884905377,0.004014132,73.99999884905377,1.611325660633156e-05
1,1,0.0,94.43742925050556,74.00000000000004,2.3360154559928683e-06,74.00000000000004,5.4569682106375694e-12,0.0,0.0,153.83316992438006,74.00000000000004,1.9073486328125e-06,74.00000000000004,3.637978807091713e-12,0.0,0.0,445.6968768674632,73.99999999590358,0.000239479,73.99999999590358,5.735000740969554e-08
2,1,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0
3,1,0.0,100.29170046555042,73.99918232119978,0.1069898808599737,73.99918232119978,0.0114468346064313,0.0,0.0,161.1062171676611,73.99602215777345,0.2359533173003512,73.99602215777345,0.0556739679450402,0.0,0.0,471.0612335687434,73.98936849837014,0.3856526856997754,73.98936849837014,0.1487279939874497
4,1,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0
5,1,0.0,94.20003955183464,73.99999999999999,2.132480599880018e-06,73.99999999999999,4.547473508864642e-12,0.0,0.0,156.88184226072946,74.0,1.6518123698891422e-06,74.0,2.7284841053187847e-12,0.0,0.0,462.80360505766487,73.99999999999973,2.523185072960464e-06,73.99999999999973,6.366462912410497e-12
6,1,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0
7,1,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0
8,1,0.0,97.63467111504175,73.99999860981313,0.004411646,73.99999860981313,1.946261909324676e-05,0.0,0.0,158.68802844104306,73.99991245157767,0.0350095736816189,73.99991245157767,0.00122567,0.0,0.0,454.69366096802815,73.99625362181763,0.2289874651693521,73.99625362181763,0.052435259
9,1,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0,0.0,0.0,1.0,60.0,0.0,60.0,0.0
